ID,Year_Birth,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Day_Customer_Enroll,Month_Customer_Enroll,Year_Customer_Enroll,Total_Children,Age,Education_Encoded,Country_AUS,Country_CA,Country_GER,Country_IND,Country_ME,Country_SA,Country_SP,Country_US,Income_Normalized,Total_Spending_Standardized,MntWines_Standardized,MntFruits_Standardized,MntMeatProducts_Standardized,MntFishProducts_Standardized,MntSweetProducts_Standardized,MntGoldProds_Standardized,Marital_Status_Standardized
10470,1979,1,0,0,2,2,1,3,4,0,0,0,0,0,0,0,15,3,2013,1,46,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0585,-0.8533,-0.7843,-0.6112,-0.6379,-0.6871,-0.5588,-0.4031,-0.433
4065,1976,1,0,0,2,5,1,8,7,0,0,0,0,0,0,0,12,2,2013,1,49,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0719,-0.3351,0.0121,-0.6614,-0.4163,-0.6871,-0.6557,-0.4031,-0.433
10968,1969,0,1,0,4,8,8,6,6,0,0,0,0,0,0,0,23,11,2012,1,56,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0842,0.1631,-0.1127,-0.1333,0.5896,0.503,-0.4619,-0.0004,0.0198
5985,1965,0,1,0,3,2,1,4,7,0,0,0,0,0,0,0,13,10,2012,1,60,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0473,-0.8035,-0.6654,-0.6363,-0.5759,-0.6871,-0.6315,-0.7865,0.0198
5430,1956,1,1,0,12,9,2,8,8,0,0,0,0,0,0,0,14,9,2012,2,69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0793,0.1299,0.4459,-0.6614,0.0179,-0.5406,-0.1954,-0.2305,0.0748
8432,1956,1,1,0,12,9,2,8,8,0,0,0,0,0,0,0,14,9,2012,2,69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0793,0.1299,0.4459,-0.6614,0.0179,-0.5406,-0.1954,-0.2305,0.0748
453,1956,1,1,1,2,2,0,3,5,0,0,0,0,0,0,0,29,6,2014,2,69,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0505,-0.9314,-0.8229,-0.6614,-0.6866,-0.6871,-0.6315,-0.7482,3.841
9687,1975,0,0,1,1,5,4,6,2,0,0,0,0,0,0,0,31,5,2014,0,50,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1074,0.1996,-0.3564,3.7143,0.3946,0.2284,0.0712,-0.2305,0.0198
8890,1971,1,1,1,3,5,1,5,6,0,0,0,0,0,0,0,30,5,2014,2,54,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0964,-0.5544,-0.4426,-0.4854,-0.3853,-0.449,-0.4861,-0.6523,0.1395
9264,1986,0,0,1,1,4,8,9,2,0,0,0,0,0,0,0,27,4,2014,0,39,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,1.7143,0.3538,0.3948,2.3887,0.6495,4.1176,2.9331,-0.433
5824,1972,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,11,4,2014,3,53,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0494,-0.9928,-0.8824,-0.6614,-0.7354,-0.6871,-0.6557,-0.844,0.0748
5794,1974,0,1,1,3,7,1,7,8,0,1,0,1,0,1,0,17,3,2014,1,51,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0671,-0.2654,0.3092,-0.6614,-0.6468,-0.6871,-0.6557,-0.5181,-0.433
3068,1990,0,0,1,1,2,0,3,7,0,0,0,0,0,0,0,29,10,2013,0,35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.025,-0.9347,-0.9002,-0.3597,-0.6999,-0.6871,-0.3165,-0.7098,-0.433
7962,1987,0,0,1,1,4,3,4,1,0,0,1,1,0,1,0,9,10,2013,0,38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1405,2.1511,2.9153,-0.1333,1.2499,1.2537,-0.1711,-0.4606,0.0198
2681,1984,0,0,1,1,2,3,13,1,0,0,0,0,0,0,0,1,8,2013,0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0957,-0.2405,-0.6922,-0.1082,-0.2435,1.8396,1.5007,-0.288,-0.433
10141,1960,0,0,1,1,0,0,3,4,0,0,0,0,0,0,0,10,5,2013,0,65,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0564,-0.9729,-0.8824,-0.6363,-0.7132,-0.6871,-0.583,-0.7865,0.1395
3725,1961,0,0,1,1,2,4,9,4,0,1,1,1,1,1,0,9,5,2013,0,64,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,1.7973,2.8054,-0.2591,0.8067,0.1002,-0.2681,-0.5373,0.0198
3767,1968,0,1,1,2,5,5,12,3,0,0,0,0,0,0,0,25,4,2013,1,57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0896,0.668,0.2201,-0.6614,0.0977,1.0889,3.5118,2.4538,-0.433
5585,1972,1,0,1,2,2,0,3,8,0,0,0,0,0,1,0,20,4,2013,1,53,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,-0.9264,-0.8675,-0.6112,-0.6645,-0.5772,-0.6315,-0.6523,0.0198
7030,1955,0,1,1,3,11,9,12,6,0,0,0,1,0,0,0,30,3,2013,1,70,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0974,1.4602,2.6627,-0.6614,0.1642,0.0087,0.0469,-0.5756,-0.433
1524,1983,0,0,1,1,8,2,5,5,0,0,0,1,0,1,0,1,3,2013,0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1203,0.8274,1.2037,0.4702,-0.2302,-0.1378,3.2211,0.0188,0.0198
3657,1986,1,0,1,3,4,0,4,8,0,0,0,0,0,0,0,14,2,2013,1,39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0563,-0.7321,-0.6238,-0.6363,-0.5936,-0.449,-0.365,-0.614,0.0198
5740,1970,1,1,1,2,1,2,2,6,0,0,0,0,0,1,0,14,2,2013,2,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0364,-0.9131,-0.8913,-0.6112,-0.6866,-0.5589,-0.5346,-0.3455,0.1395
9595,1961,0,0,1,1,4,5,4,3,0,0,0,0,0,1,0,11,1,2013,0,64,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.094,1.608,0.6985,3.5886,2.8762,-0.3209,-0.6557,-0.2688,0.0748
3158,1973,1,0,1,1,1,0,3,8,0,0,0,0,0,0,0,3,1,2013,1,52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.046,-0.9413,-0.8645,-0.586,-0.7132,-0.5772,-0.5346,-0.729,-0.433
5114,1965,0,1,1,2,5,4,5,4,0,0,0,0,0,0,0,19,12,2012,1,60,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1099,0.5966,1.0878,-0.4351,0.3636,-0.6871,0.0227,-0.6715,-0.433
340,1970,0,1,1,2,7,2,8,5,1,0,0,0,0,1,0,15,12,2012,1,55,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1071,-0.1807,-0.4337,0.2187,0.0534,-0.6871,-0.6557,1.5526,0.1395
8805,1960,0,1,1,4,7,2,4,8,0,0,0,0,0,0,0,2,12,2012,1,65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0709,-0.39,-0.0622,-0.41,-0.5714,-0.6871,-0.3407,-0.3264,0.0198
1241,1984,1,0,1,2,1,0,3,9,0,0,0,0,0,1,0,17,9,2012,1,41,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0197,-0.9214,-0.8645,-0.586,-0.7044,-0.5589,-0.5588,-0.5373,-0.433
1402,1954,0,0,1,3,4,8,6,3,0,0,0,0,0,0,0,11,9,2012,0,71,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0981,1.0749,0.5707,0.2439,1.2986,2.7734,0.7981,-0.614,-0.433
7264,1978,2,1,2,1,1,0,2,8,0,0,0,0,0,0,0,12,5,2014,3,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0759,-0.9779,-0.8675,-0.6614,-0.7221,-0.6871,-0.6557,-0.8249,0.0198
1619,1956,0,0,2,1,4,6,6,1,0,0,0,0,0,1,0,28,4,2014,0,69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1333,1.6313,-0.0355,0.6211,3.6073,3.4142,-0.0984,-0.5181,-0.433
6398,1974,1,0,2,2,3,0,3,8,0,0,0,0,0,0,0,29,3,2014,1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0251,-0.9231,-0.8824,-0.41,-0.6822,-0.3941,-0.6557,-0.7674,-0.433
1857,1952,1,1,2,2,2,1,2,7,0,0,0,0,0,1,0,6,3,2014,2,73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0683,-0.8683,-0.7665,-0.6614,-0.6866,-0.6871,-0.6073,-0.4031,0.0198
4877,1973,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,4,3,2014,1,52,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0554,-0.938,-0.8021,-0.6614,-0.7088,-0.6871,-0.6557,-0.844,-0.433
3066,1975,0,1,2,2,4,2,4,5,0,0,0,0,0,0,0,4,2,2014,1,50,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0905,-0.6225,-0.4069,-0.6614,-0.5493,-0.5772,-0.6073,-0.5948,0.0748
10286,1962,0,0,2,1,2,8,13,0,0,0,0,0,0,0,0,3,2,2014,0,63,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1233,0.5318,0.0418,-0.4603,1.0637,2.0593,0.1923,-0.6907,-0.433
1992,1964,0,1,2,4,2,2,8,7,0,0,0,1,0,1,0,1,1,2014,1,61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0885,0.477,0.648,-0.6614,0.399,-0.1012,-0.2681,0.4214,-0.433
4246,1982,0,0,2,0,1,0,1,17,0,0,0,0,0,0,0,12,12,2013,0,43,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0073,-0.3866,-0.7041,-0.3848,-0.6246,-0.6138,-0.583,4.1794,0.0198
10623,1961,0,1,2,1,1,0,3,5,0,0,0,0,0,0,0,15,11,2013,1,64,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0701,-0.953,-0.82,-0.6614,-0.7221,-0.6871,-0.6557,-0.844,0.0748
4867,1968,1,1,2,4,3,0,4,7,0,0,0,0,0,0,0,20,9,2013,2,57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0549,-0.86,-0.7308,-0.6614,-0.66,-0.6504,-0.6557,-0.6523,0.0198
3112,1977,1,0,2,1,1,0,3,5,0,0,0,0,0,0,0,5,9,2013,1,48,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0315,-0.9663,-0.8972,-0.5609,-0.6999,-0.6871,-0.5588,-0.7482,-0.433
4865,1974,1,1,2,7,5,1,8,7,0,0,0,0,0,1,0,31,8,2013,2,51,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777,-0.3418,-0.2227,-0.4854,-0.1194,-0.504,-0.583,-0.6331,0.1395
6287,1986,1,0,2,1,1,1,2,6,0,0,0,0,0,1,0,30,7,2013,1,39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0496,-0.9463,-0.8616,-0.6614,-0.6689,-0.6871,-0.6557,-0.729,0.0748
4405,1956,0,2,2,2,6,3,12,5,0,0,0,0,0,0,0,30,7,2013,2,69,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0935,0.3043,0.9452,-0.4854,-0.2302,-0.1378,-0.6557,-0.5564,-0.433
5332,1960,0,0,2,1,3,6,7,1,0,0,0,0,0,0,0,27,7,2013,0,65,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1215,0.7643,0.1725,0.596,1.1701,1.7664,0.1923,0.1913,-0.433
1519,1972,1,1,2,3,3,0,3,8,0,0,0,0,0,1,0,22,6,2013,2,53,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0554,-0.8849,-0.7902,-0.5609,-0.6423,-0.6321,-0.583,-0.7865,0.0198
9080,1972,1,1,2,3,3,0,3,8,0,0,0,0,0,0,0,22,6,2013,2,53,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0554,-0.8849,-0.7902,-0.5609,-0.6423,-0.6321,-0.583,-0.7865,0.0198
1772,1975,0,0,2,1,5,6,7,2,0,0,1,1,0,1,0,11,1,2013,0,50,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1165,2.3869,2.2883,0.269,1.5556,2.8466,1.5734,1.6293,-0.433
5341,1962,0,1,2,1,6,3,4,7,0,0,1,0,0,0,0,5,1,2013,1,63,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1207,1.6313,2.0179,1.2498,0.0756,2.6086,2.688,-0.3264,0.1395
5510,1977,0,1,2,3,5,2,6,5,0,0,0,0,0,0,0,21,11,2012,1,48,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0625,-0.2737,-0.1246,-0.5106,-0.4695,-0.6871,-0.4134,1.1116,-0.433
3887,1970,1,0,2,2,2,0,3,9,0,0,0,0,0,1,0,11,11,2012,1,55,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0384,-0.8301,-0.8943,-0.2339,-0.6246,-0.3209,-0.6315,-0.0963,0.0198
7022,1971,1,0,2,1,2,5,13,6,0,0,0,0,0,0,0,28,9,2012,1,54,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1124,1.3356,1.2928,2.0294,0.6295,1.8762,1.2827,-0.173,-0.433
9999,1965,0,0,2,1,9,4,9,5,0,0,0,0,0,0,0,27,9,2012,0,60,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1106,0.7211,0.9095,1.9791,-0.1859,1.8213,0.3619,-0.4414,0.0748
10352,1963,1,1,2,3,3,1,2,9,0,0,0,0,0,1,0,7,9,2012,2,62,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0489,-0.8118,-0.7546,-0.5609,-0.6157,-0.5772,-0.583,-0.3455,3.841
7919,1976,0,0,2,1,10,4,8,8,0,0,0,0,0,1,0,13,8,2012,0,49,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1062,2.4683,2.9153,1.9791,2.1539,-0.1744,-0.1469,-0.844,0.0748
4114,1964,0,0,2,1,6,9,13,3,0,0,0,0,0,0,0,11,8,2012,0,61,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1164,1.8056,1.0284,0.269,2.7166,-0.1927,3.3907,-0.2305,-0.433
7990,1947,0,0,2,1,0,0,3,6,0,0,0,0,0,0,0,2,8,2012,0,78,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0387,-0.9779,-0.8764,-0.6363,-0.731,-0.6321,-0.6073,-0.844,-0.433
9888,1969,0,0,3,1,4,4,7,2,0,0,0,0,0,0,0,25,6,2014,0,56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1007,0.8058,0.4578,1.3755,0.8377,1.2537,0.5558,-0.0771,0.0748
4399,1969,0,0,3,1,4,4,7,2,0,0,0,0,0,0,0,25,6,2014,0,56,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007,0.8058,0.4578,1.3755,0.8377,1.2537,0.5558,-0.0771,0.0748
4452,1957,0,1,3,4,6,1,6,7,0,1,0,1,0,1,0,28,5,2014,1,68,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0732,-0.3883,-0.0355,-0.5106,-0.5759,-0.6871,-0.583,-0.1922,0.0198
4785,1970,0,2,3,2,6,3,11,3,0,0,0,0,0,0,0,14,4,2014,2,55,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1141,0.1797,0.6421,-0.4854,-0.0574,-0.3392,-0.6557,-0.5756,0.0748
8461,1962,2,1,3,1,1,0,2,7,0,0,0,0,0,0,0,10,3,2014,3,63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0667,-0.9795,-0.8616,-0.6614,-0.7354,-0.6871,-0.6557,-0.8249,0.1395
3878,1980,1,0,3,1,1,0,3,7,0,0,0,0,0,0,0,27,2,2014,1,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0453,-0.9264,-0.8943,-0.5609,-0.7088,-0.4124,-0.4619,-0.6331,0.0198
9612,1987,0,0,3,1,1,0,3,7,0,0,0,0,0,0,0,7,2,2014,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0332,-0.9347,-0.9002,-0.4603,-0.7132,-0.6138,-0.4619,-0.5373,0.0198
4098,1973,1,1,3,3,2,0,4,6,0,0,0,0,0,0,0,28,1,2014,2,52,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,-0.933,-0.8437,-0.586,-0.6689,-0.6871,-0.5588,-0.8249,-0.433
158,1945,0,0,3,1,8,3,5,4,1,0,0,0,0,1,0,17,11,2013,0,80,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1051,0.9802,0.122,0.6714,1.5999,1.1073,1.1615,1.0158,0.0748
3896,1984,1,0,3,1,1,0,3,7,0,0,0,0,0,0,0,7,11,2013,1,41,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0384,-0.9447,-0.8378,-0.6363,-0.6911,-0.6871,-0.6315,-0.8057,-0.433
9970,1977,0,1,3,1,1,1,6,2,0,0,0,0,0,0,0,17,10,2013,1,48,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807,-0.7371,-0.7784,-0.3848,-0.4872,-0.504,0.0227,-0.5756,0.0748
4002,1960,0,1,3,1,7,7,12,3,0,0,0,0,0,0,0,13,10,2013,1,65,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1133,0.859,0.4727,1.7528,0.7358,2.3889,0.6285,-0.6523,-0.433
10914,1970,1,1,3,2,1,0,3,4,0,0,0,0,0,0,0,12,10,2013,2,55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0337,-0.9779,-0.8913,-0.6363,-0.7088,-0.6504,-0.6315,-0.8057,0.0198
7279,1969,0,0,3,1,4,6,4,2,0,0,0,0,0,0,0,30,9,2013,0,56,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1019,0.7278,-0.1306,1.5013,1.7373,0.4664,-0.4377,0.4406,0.0748
10582,1979,0,1,3,2,5,2,12,2,0,0,0,0,0,0,0,3,7,2013,1,46,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1058,0.2528,-0.3683,0.1433,0.8023,0.7044,0.1196,0.8816,-0.433
4470,1962,0,1,3,1,2,1,4,4,0,0,0,0,0,0,0,10,6,2013,1,63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0856,-0.7736,-0.7189,-0.6363,-0.5448,-0.5772,-0.5346,-0.4222,-0.433
6183,1962,0,1,3,1,2,1,4,4,0,0,0,0,0,0,0,10,6,2013,1,63,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0856,-0.7736,-0.7189,-0.6363,-0.5448,-0.5772,-0.5346,-0.4222,-0.433
6379,1949,1,1,3,3,2,2,2,7,0,0,0,0,0,1,0,29,5,2013,2,76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0689,-0.8052,-0.7041,-0.6363,-0.6512,-0.6871,-0.6073,-0.2497,3.841
8601,1980,0,1,3,2,8,6,5,4,0,0,0,0,0,0,0,29,4,2013,1,45,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1177,1.3107,0.3479,1.2498,1.6354,0.8143,3.6572,1.1116,-0.433
4827,1956,0,1,3,5,4,2,9,4,0,0,0,0,0,1,0,10,3,2013,1,69,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0801,-0.2504,-0.4455,-0.1082,0.1553,0.027,0.0712,-0.6907,0.0198
